,g/h,l,m,res_lon[deg],dg[nT],g[nT],"dist_min, Leeds","G_dist[deg/nT], Leeds","dist_min, Dunedin","G_dist[deg/nT], Dunedin","dist_min, Edmonton","G_dist[deg/nT], Edmonton","dist_min, Salekhard","G_dist[deg/nT], Salekhard"
163,g,9.0,1.0,0.5,594.1215927420043,602.5215927420043,12.982356031882125,-0.0006619002550898811,11.681226670071485,7.755049177821454e-06,1.9732034441419648,2.1376965552755175e-05,0.7691098191031852,-0.00010491264613182478
164,h,9.0,1.0,0.5,-594.1215927420043,-617.5215927420043,12.982356031882125,1.8030227193590267e-05,11.681226670071485,-3.527942943011947e-05,1.9732034441419648,1.618269806480832e-05,0.7691098191031852,-0.00023050650577190337
165,h,9.0,1.0,0.5,594.1215927420043,570.7215927420043,12.982356031882125,1.8515489986226362e-05,11.681226670071485,-3.6144213834786254e-05,1.9732034441419648,1.777056049487613e-05,0.7691098191031852,-0.00023318521574460923
166,g,9.0,2.0,0.5,-594.1215927420043,-591.2215927420043,12.982356031882125,-0.0002857145429528225,11.681226670071485,-0.00044009070025799257,1.9732034441419648,0.00013583180986433154,0.7691098191031852,4.5009812150128225e-05
167,g,9.0,2.0,0.5,594.1215927420043,597.0215927420043,12.982356031882125,-0.0003177884724714802,11.681226670071485,-0.00042945611400899716,1.9732034441419648,0.0001380143287258688,0.7691098191031852,4.098997849871708e-05
168,h,9.0,2.0,0.5,-594.1215927420043,-583.1215927420043,12.982356031882125,7.854587928555755e-05,11.681226670071485,0.00013957299243851196,1.9732034441419648,-0.0001605165367929822,0.7691098191031852,-5.493462014986225e-05
169,h,9.0,2.0,0.5,594.1215927420043,605.1215927420043,12.982356031882125,7.1970929259553e-05,11.681226670071485,0.00014242638262266556,1.9732034441419648,-0.0001590940410572078,0.7691098191031852,-6.031884129045507e-05
170,g,9.0,3.0,0.5,-594.1215927420043,-595.6215927420043,12.982356031882125,0.0002482231650459161,11.681226670071485,-0.00019034200539285777,1.9732034441419648,-8.81243290615298e-05,0.7691098191031852,-0.00010280422120066655
171,g,9.0,3.0,0.5,594.1215927420043,592.6215927420043,12.982356031882125,0.00027615653010372166,11.681226670071485,-0.00020262774273360897,1.9732034441419648,-9.520915599973693e-05,0.7691098191031852,-9.437584635220249e-05
172,h,9.0,3.0,0.5,-594.1215927420043,-584.3215927420043,12.982356031882125,6.593522247238218e-05,11.681226670071485,0.0002201366466389383,1.9732034441419648,-6.218826674086127e-05,0.7691098191031852,-4.205377476396584e-05
173,h,9.0,3.0,0.5,594.1215927420043,603.9215927420042,12.982356031882125,7.316612947639869e-05,11.681226670071485,0.00021140261499465705,1.9732034441419648,-6.508220078918064e-05,0.7691098191031852,-3.7085132395235124e-05
174,g,9.0,4.0,0.5,-594.1215927420043,-595.2215927420043,12.982356031882125,0.0003919245506259845,11.681226670071485,0.00018526456971894604,1.9732034441419648,-6.641136230000839e-05,0.7691098191031852,-1.1887446677307326e-05
175,g,9.0,4.0,0.5,594.1215927420043,593.0215927420043,12.982356031882125,0.00040658381149026845,11.681226670071485,0.00020029842964276054,1.9732034441419648,-6.244495928054652e-05,0.7691098191031852,-6.222944251655128e-06
176,h,9.0,4.0,0.5,-594.1215927420043,-599.2215927420043,12.982356031882125,1.8169868284509893e-05,11.681226670071485,4.993340674598145e-05,1.9732034441419648,-6.244609317439702e-05,0.7691098191031852,-0.00012372859201112546
177,h,9.0,4.0,0.5,594.1215927420043,589.0215927420043,12.982356031882125,3.603420902282715e-05,11.681226670071485,5.047834243223963e-05,1.9732034441419648,-5.6945045922693936e-05,0.7691098191031852,-0.00012079558187222942
178,g,9.0,5.0,0.5,-594.1215927420043,-607.3215927420043,12.982356031882125,0.000260108161233597,11.681226670071485,0.00028190581172972564,1.9732034441419648,-8.457597283942438e-05,0.7691098191031852,5.992737745056682e-05
179,g,9.0,5.0,0.5,594.1215927420043,580.9215927420042,12.982356031882125,0.0002600633091526824,11.681226670071485,0.0002937509601702271,1.9732034441419648,-7.934354590202702e-05,0.7691098191031852,6.027358774860226e-05
180,h,9.0,5.0,0.5,-594.1215927420043,-600.4215927420042,12.982356031882125,-3.6517148208923976e-06,11.681226670071485,-0.0001197468865772625,1.9732034441419648,0.0001042099577242089,0.7691098191031852,-3.428713298128337e-05
181,h,9.0,5.0,0.5,594.1215927420043,587.8215927420043,12.982356031882125,4.954379514797833e-06,11.681226670071485,-0.00010976028100291707,1.9732034441419648,0.00011004954558248138,0.7691098191031852,-3.2758095351172894e-05
182,g,9.0,6.0,0.5,-594.1215927420043,-593.0215927420043,12.982356031882125,0.00011021027867283385,11.681226670071485,0.00017676527782113188,1.9732034441419648,8.991290897145103e-05,0.7691098191031852,2.0674096765560377e-05
183,g,9.0,6.0,0.5,594.1215927420043,595.2215927420043,12.982356031882125,0.00010950023781489461,11.681226670071485,0.00018030320162372145,1.9732034441419648,9.071960588182321e-05,0.7691098191031852,2.0720058125227618e-05
184,h,9.0,6.0,0.5,-594.1215927420043,-586.3215927420043,12.982356031882125,-5.4773571733420605e-06,11.681226670071485,-0.00013710560145414828,1.9732034441419648,2.6563907671350922e-05,0.7691098191031852,1.4982111539882531e-05
185,h,9.0,6.0,0.5,594.1215927420043,601.9215927420042,12.982356031882125,-3.7177174223296774e-06,11.681226670071485,-0.00013361433901070682,1.9732034441419648,2.929452980489564e-05,0.7691098191031852,1.5137787352123731e-05
186,g,9.0,7.0,0.5,-594.1215927420043,-585.3215927420043,12.982356031882125,3.2887588216545986e-05,11.681226670071485,6.632666282445419e-05,1.9732034441419648,-4.384735001775274e-06,0.7691098191031852,-1.3268171888162848e-06
