,g/h,l,m,res_lon[deg],dg[nT],g[nT],loncN[deg],latcN[deg],loncS[deg],latcS[deg],G_N_centroid[deg/nT],G_S_centroid[deg/nT],G_N_centroid_lon[deg/nT],G_S_centroid_lon[deg/nT],G_N_centroid_lat[deg/nT],G_S_centroid_lat[deg/nT]
176,h,9.0,4.0,0.5,-594.1215927420043,-599.2215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0002530334708843319,-0.0003080277962555018,0.00025302893383356785,-0.00030405257303960066,-1.2943077748009809e-05,9.242837578861476e-05
177,h,9.0,4.0,0.5,594.1215927420043,589.0215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0002508426682297521,0.000297751037036652,0.00025084175230182806,-0.00029395852216892597,-5.664677543325714e-06,8.920296674357501e-05
178,g,9.0,5.0,0.5,-594.1215927420043,-607.3215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-5.592371215665579e-05,-0.00012278714721831153,5.592165397826198e-05,-0.00012226628172228225,-4.062797413039257e-06,2.1201253205020013e-05
179,g,9.0,5.0,0.5,594.1215927420043,580.9215927420042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,5.782596972530671e-05,0.00012077230468342138,5.782592369816815e-05,-0.00012046222787535301,-6.147942209888637e-07,1.6262668791752296e-05
180,h,9.0,5.0,0.5,-594.1215927420043,-600.4215927420042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-2.1128653145516555e-05,-8.997546711692989e-05,2.1093076295517097e-05,8.891908417873598e-05,1.0362548026684662e-05,2.584243865819613e-05
181,h,9.0,5.0,0.5,594.1215927420043,587.8215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,2.3001538555715275e-05,9.007046352716023e-05,2.2943660071049733e-05,8.93819372258909e-05,1.3761370109998612e-05,2.0865112630865935e-05
182,g,9.0,6.0,0.5,-594.1215927420043,-593.0215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-3.6511077353085206e-06,-1.0212432229899057e-05,3.643038207075651e-06,9.645601490453648e-06,2.0497280041356006e-06,6.302820318425422e-06
183,g,9.0,6.0,0.5,594.1215927420043,595.2215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,4.200830483473903e-06,1.0153162542408199e-05,4.188884898262311e-06,9.85830725319386e-06,2.673717707035688e-06,4.562619362020811e-06
184,h,9.0,6.0,0.5,-594.1215927420043,-586.3215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-1.0029768987277237e-05,-2.7715556089881806e-05,-1.0029752068729753e-05,2.77071389314933e-05,1.5558583145834268e-07,-1.283306698211093e-06
185,h,9.0,6.0,0.5,594.1215927420043,601.9215927420042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,9.480077591747098e-06,2.8017677195294598e-05,-9.47962555499374e-06,2.7971609488875883e-05,7.824067106819688e-07,-3.01617224902822e-06
